stddev_2_a,min_2_a,min_q_2_a,min_q_7_a,min_q_12_a,min_q_17_a,covmat_104_a,logm_9_a,entropy0_a,entropy3_a,stddev_2_b,min_2_b,min_q_2_b,min_q_7_b,min_q_12_b,min_q_17_b,covmat_104_b,logm_9_b,entropy0_b,entropy3_b,label
248.0,-564.0,-547.0,-375.0,-486.0,-564.0,42300.0,3.94,0.0,0.0,326.0,-563.0,-482.0,-563.0,-163.0,-393.0,39400.0,-6.1,0.0,0.0,NEGATIVE
11.1,-8.81,7.02,-6.16,-8.81,10.3,796.0,5.52,4.98,4.99,11.5,-7.07,-7.07,10.8,5.38,5.44,643.0,5.52,4.99,4.99,NEUTRAL
319.0,-784.0,-693.0,-784.0,-675.0,-683.0,100000.0,10.4,0.0,0.0,307.0,-682.0,-682.0,-682.0,-554.0,-663.0,80000.0,10.1,0.0,0.0,NEGATIVE
17.2,23.6,25.5,26.0,48.8,23.6,1180.0,5.17,0.0,0.0,17.2,11.0,45.0,23.5,11.0,12.7,900.0,5.09,0.0,0.0,POSITIVE
10.1,5.22,5.22,5.76,11.1,9.59,549.0,4.82,0.0,4.96,8.94,10.4,11.7,10.4,13.9,13.0,489.0,5.53,0.0,4.97,NEUTRAL
45.3,-1010.0,-978.0,-999.0,-996.0,-1010.0,181000.0,11.0,0.0,0.0,50.2,-1010.0,-1010.0,-1010.0,-986.0,-1000.0,184000.0,11.0,0.0,0.0,NEGATIVE
200.0,-743.0,-743.0,-685.0,-686.0,-692.0,92300.0,10.3,0.0,0.0,197.0,-754.0,-683.0,-695.0,-754.0,-663.0,93000.0,10.3,0.0,0.0,NEGATIVE
261.0,-663.0,-663.0,-551.0,-629.0,-577.0,71000.0,9.65,0.0,0.0,256.0,-610.0,-610.0,-578.0,-531.0,-587.0,61700.0,10.0,0.0,0.0,NEGATIVE
16.3,-38.7,-17.7,-38.7,-32.2,-33.6,873.0,4.66,4.96,0.0,18.9,-35.3,-35.3,-32.8,-26.8,9.3,810.0,5.07,4.98,4.97,NEUTRAL
282.0,-549.0,-533.0,-539.0,-549.0,-498.0,50000.0,9.13,0.0,0.0,284.0,-546.0,-546.0,-498.0,-486.0,-431.0,46900.0,8.96,0.0,0.0,NEGATIVE
180.0,-709.0,-663.0,-580.0,-583.0,-709.0,73500.0,10.5,0.0,0.0,190.0,-721.0,-594.0,-721.0,-604.0,-664.0,80500.0,10.5,0.0,0.0,NEGATIVE
13.7,-12.2,1.92,-8.6,-12.2,7.38,548.0,1.42,0.0,0.0,63.3,-12.0,-12.0,7.09,-0.946,16.9,698.0,5.53,0.0,0.0,POSITIVE
13.3,-9.08,-9.08,6.25,-8.29,12.9,917.0,5.59,4.97,4.98,13.1,-4.08,-4.08,12.2,10.9,3.67,453.0,5.39,4.97,4.97,NEUTRAL
212.0,-748.0,-684.0,-693.0,-748.0,-735.0,98800.0,10.5,0.0,0.0,222.0,-806.0,-769.0,-737.0,-735.0,-806.0,108000.0,10.7,0.0,0.0,NEGATIVE
9.58,5.65,15.0,5.65,14.9,13.1,1450.0,6.18,0.0,0.0,9.4,4.43,15.4,13.9,10.8,4.43,1180.0,6.2,4.96,4.97,NEUTRAL
269.0,-925.0,-818.0,-925.0,-906.0,-858.0,158000.0,11.0,0.0,4.94,279.0,-926.0,-900.0,-855.0,-926.0,-798.0,161000.0,10.7,0.0,0.0,POSITIVE
202.0,-945.0,-878.0,-894.0,-839.0,-945.0,152000.0,11.1,0.0,0.0,216.0,-943.0,-855.0,-943.0,-919.0,-819.0,167000.0,10.8,0.0,0.0,POSITIVE
7.11,0.188,1.2,6.64,0.188,8.29,592.0,5.5,0.0,0.0,8.19,-1.91,0.611,8.88,3.65,-1.91,444.0,5.8,0.0,0.0,POSITIVE
8.69,5.7,17.4,5.7,14.5,14.2,420.0,5.9,0.0,0.0,9.37,-12.9,15.4,14.4,14.5,-12.9,434.0,4.51,4.98,4.99,NEUTRAL
8.3,9.16,9.16,12.2,20.5,15.3,520.0,5.06,0.0,4.97,8.46,11.6,20.5,15.2,11.6,14.2,451.0,5.18,0.0,4.95,NEUTRAL
17.2,-14.8,1.24,-8.55,-6.83,-14.8,390.0,4.24,0.0,0.0,16.3,-14.2,-6.16,-14.2,-4.56,-0.298,205.0,4.88,0.0,0.0,POSITIVE
8.46,11.6,20.5,15.2,11.6,14.2,451.0,5.18,0.0,4.95,9.3,7.16,11.6,14.0,9.34,7.16,517.0,2.97,0.0,4.97,NEUTRAL
10.1,2.92,4.36,2.92,9.3,13.5,807.0,4.57,4.98,4.99,9.27,8.6,12.8,11.4,8.6,13.5,496.0,5.98,4.98,4.99,NEUTRAL
256.0,-424.0,-359.0,-424.0,-388.0,-309.0,30500.0,7.7,0.0,4.93,203.0,-390.0,-390.0,-308.0,-355.0,-355.0,25100.0,8.24,0.0,4.92,POSITIVE
247.0,-880.0,-880.0,-817.0,-782.0,-800.0,131000.0,10.7,0.0,0.0,253.0,-845.0,-775.0,-802.0,-845.0,-820.0,126000.0,10.8,0.0,0.0,NEGATIVE
63.6,-110.0,-25.0,-110.0,-62.0,-20.7,1540.0,5.29,0.0,0.0,36.0,-121.0,-69.9,-20.8,-52.1,-121.0,1090.0,6.86,0.0,4.92,POSITIVE
9.58,-15.3,12.6,7.17,-15.3,9.19,877.0,4.94,4.98,4.99,9.04,-14.9,-14.9,9.23,17.8,5.79,614.0,4.53,0.0,0.0,NEUTRAL
17.6,-22.4,2.86,2.03,-14.9,-22.4,588.0,7.99,0.0,0.0,21.7,-29.2,-14.4,-22.9,-2.46,-29.2,5320.0,8.35,0.0,0.0,NEUTRAL
33.0,-22.4,-9.05,17.6,-22.4,-10.6,613.0,2.16,4.97,4.98,35.3,-22.1,-22.1,-10.4,-13.1,-12.3,559.0,5.69,4.99,4.99,NEUTRAL
10.1,-11.6,-11.5,-11.6,-5.05,-11.6,527.0,5.19,0.0,0.0,10.5,-12.4,-5.86,-12.4,3.84,-11.0,624.0,4.86,0.0,0.0,POSITIVE
11.6,-4.13,-1.42,-4.13,4.37,13.6,339.0,4.18,4.97,4.97,10.1,4.07,4.07,13.4,10.2,6.16,396.0,6.08,4.98,4.97,NEUTRAL
207.0,-817.0,-794.0,-774.0,-755.0,-817.0,117000.0,10.7,0.0,0.0,198.0,-823.0,-758.0,-823.0,-766.0,-760.0,120000.0,10.7,0.0,0.0,NEGATIVE
19.9,-19.9,-19.9,-4.62,-9.04,-9.11,279.0,5.38,0.0,0.0,20.3,-24.0,-8.78,-10.2,-24.0,-9.62,264.0,5.52,0.0,0.0,POSITIVE
219.0,-716.0,-607.0,-716.0,-601.0,-569.0,82000.0,10.1,0.0,0.0,210.0,-618.0,-598.0,-569.0,-618.0,-572.0,69300.0,9.88,0.0,0.0,NEGATIVE
10.0,14.6,17.8,19.3,14.6,18.4,981.0,4.58,0.0,0.0,15.4,4.07,14.4,18.2,12.6,4.07,1210.0,5.83,0.0,0.0,POSITIVE
268.0,-649.0,-615.0,-597.0,-649.0,-591.0,70500.0,10.2,0.0,0.0,272.0,-657.0,-657.0,-590.0,-590.0,-551.0,65600.0,9.76,0.0,0.0,NEGATIVE
12.0,-0.809,-0.809,1.7,2.93,4.86,453.0,5.1,0.0,0.0,35.6,-32.4,3.66,4.41,-32.4,-29.9,573.0,1.01,0.0,0.0,POSITIVE
133.0,-1010.0,-1010.0,-1010.0,-996.0,-969.0,202000.0,10.8,0.0,0.0,140.0,-1030.0,-994.0,-976.0,-1030.0,-974.0,192000.0,11.0,0.0,0.0,POSITIVE
215.0,-642.0,-474.0,-642.0,-533.0,-520.0,61900.0,10.1,0.0,0.0,215.0,-532.0,-532.0,-516.0,-466.0,-506.0,51200.0,9.59,0.0,0.0,NEGATIVE
21.6,-36.5,-32.2,-36.5,-24.4,-36.5,210.0,5.8,0.0,0.0,22.1,-36.6,-25.4,-36.6,-30.8,-20.6,210.0,6.12,0.0,0.0,POSITIVE
16.8,-15.9,-15.9,7.69,6.52,15.2,682.0,-3.68,0.0,0.0,12.9,6.16,6.16,15.6,12.9,12.6,604.0,5.82,0.0,0.0,NEUTRAL
13.3,-13.2,-3.55,-13.2,7.55,8.29,700.0,5.66,0.0,0.0,16.8,-22.9,7.78,7.92,-12.2,-22.9,684.0,5.29,0.0,0.0,POSITIVE
137.0,-692.0,-692.0,-512.0,-520.0,-612.0,65900.0,10.2,0.0,0.0,127.0,-653.0,-511.0,-653.0,-476.0,-471.0,59700.0,9.75,0.0,0.0,NEGATIVE
9.49,1.45,1.45,13.6,15.8,19.6,356.0,5.52,4.96,0.0,8.32,14.5,15.7,19.8,14.5,16.3,1050.0,4.62,4.98,4.99,NEUTRAL
313.0,-795.0,-795.0,-725.0,-641.0,-594.0,104000.0,9.82,0.0,0.0,321.0,-716.0,-639.0,-595.0,-716.0,-662.0,85100.0,9.72,0.0,0.0,NEGATIVE
14.3,-46.3,-46.3,-17.7,-43.9,-22.8,761.0,6.2,0.0,0.0,16.6,-46.0,-46.0,-24.2,-38.8,-17.9,677.0,5.81,0.0,0.0,POSITIVE
30.6,-25.5,-18.0,-25.5,5.6,13.7,2810.0,8.27,0.0,0.0,41.1,-53.7,7.72,13.4,-47.7,-53.7,7470.0,3.48,0.0,0.0,NEUTRAL
146.0,-712.0,-677.0,-671.0,-628.0,-712.0,84500.0,10.4,0.0,0.0,148.0,-700.0,-618.0,-700.0,-634.0,-619.0,82600.0,10.2,0.0,0.0,NEGATIVE
8.06,2.33,18.0,7.23,2.33,9.43,1020.0,3.36,4.97,4.98,12.2,3.21,3.21,8.98,4.43,13.5,3150.0,0.0418,0.0,0.0,NEUTRAL
17.0,-15.2,-0.663,-10.1,-15.2,-7.79,359.0,5.64,0.0,0.0,16.9,-15.3,-15.3,-7.05,8.19,3.41,974.0,6.37,0.0,0.0,POSITIVE
225.0,-831.0,-795.0,-831.0,-813.0,-708.0,131000.0,10.4,0.0,0.0,219.0,-812.0,-812.0,-705.0,-667.0,-766.0,104000.0,10.7,0.0,0.0,NEGATIVE
6.74,15.2,17.5,22.5,16.9,15.2,817.0,4.52,4.97,4.98,6.75,5.49,17.0,15.1,5.49,20.3,771.0,3.0,4.99,5.0,NEUTRAL
219.0,-592.0,-489.0,-592.0,-452.0,-475.0,53600.0,9.76,0.0,0.0,216.0,-472.0,-451.0,-472.0,-470.0,-428.0,42400.0,9.21,0.0,0.0,POSITIVE
9.41,12.5,13.5,16.2,14.5,12.5,486.0,1.81,0.0,0.0,9.98,7.83,14.6,11.8,9.02,7.83,594.0,5.56,0.0,0.0,NEUTRAL
1.99,-976.0,-971.0,-976.0,-972.0,-971.0,175000.0,10.8,0.0,0.0,2.54,-974.0,-971.0,-971.0,-974.0,-974.0,173000.0,10.8,0.0,0.0,NEGATIVE
7.66,11.7,14.3,17.7,11.7,12.6,663.0,3.84,4.98,4.99,8.8,1.37,11.5,13.0,1.37,13.4,413.0,4.42,4.97,0.0,NEUTRAL
15.1,-6.96,-2.53,4.48,-6.96,-5.76,280.0,5.11,0.0,0.0,16.0,-11.2,-6.94,-5.5,-9.18,-11.2,480.0,5.26,0.0,0.0,POSITIVE
320.0,-891.0,-875.0,-890.0,-891.0,-212.0,146000.0,-5.0,0.0,0.0,256.0,-890.0,-890.0,-220.0,-371.0,-403.0,69600.0,9.26,0.0,0.0,POSITIVE
45.0,-81.0,2.71,5.39,-68.5,-81.0,4060.0,-1.05,0.0,0.0,45.2,-80.9,-68.3,-80.9,-2.26,5.35,2930.0,7.39,0.0,0.0,POSITIVE
9.96,10.5,25.2,14.7,12.8,10.5,3520.0,7.53,0.0,0.0,11.2,10.5,13.0,10.5,20.7,14.5,3160.0,6.54,0.0,0.0,NEUTRAL
341.0,-644.0,-576.0,-644.0,-540.0,-586.0,67400.0,10.1,0.0,0.0,342.0,-580.0,-547.0,-580.0,-568.0,-489.0,62000.0,9.49,0.0,0.0,NEGATIVE
15.5,-6.6,2.97,9.83,-4.5,-6.6,319.0,5.36,4.97,4.97,15.7,-6.44,-4.32,-6.44,4.67,-0.949,958.0,5.87,0.0,0.0,NEUTRAL
15.0,-0.688,4.36,7.8,-0.688,7.6,538.0,3.17,4.99,4.99,15.0,0.046,0.046,6.64,5.66,3.55,643.0,5.49,4.99,4.98,NEUTRAL
16.3,-46.6,-8.57,-29.9,-33.3,-46.6,449.0,5.76,0.0,0.0,20.1,-47.0,-34.6,-47.0,-10.8,-13.7,3040.0,6.88,0.0,0.0,POSITIVE
30.3,-69.2,-46.8,-47.8,-69.2,-28.1,8210.0,3.17,0.0,0.0,23.0,-69.4,-69.4,-28.8,-44.4,-33.6,1500.0,0.805,0.0,0.0,POSITIVE
185.0,-1070.0,-1060.0,-1070.0,-1030.0,-974.0,211000.0,10.8,0.0,0.0,202.0,-1010.0,-972.0,-996.0,-990.0,-1010.0,182000.0,11.1,0.0,0.0,NEGATIVE
144.0,-852.0,-852.0,-650.0,-591.0,-670.0,100000.0,7.04,0.0,0.0,156.0,-872.0,-590.0,-667.0,-773.0,-872.0,92000.0,10.9,0.0,0.0,POSITIVE
12.9,6.16,6.16,15.6,12.9,12.6,604.0,5.82,0.0,0.0,9.19,12.8,12.8,13.4,13.4,15.8,586.0,4.46,4.97,4.98,NEUTRAL
13.5,-31.6,-31.1,-26.5,-31.6,-22.5,964.0,6.61,0.0,4.92,13.4,-31.4,-31.4,-22.6,-27.8,-15.9,577.0,4.9,0.0,0.0,POSITIVE
8.85,10.8,17.4,23.3,20.5,10.8,649.0,5.35,4.85,4.88,8.42,11.4,20.4,11.4,15.1,19.5,869.0,4.87,4.94,4.94,NEUTRAL
12.1,-18.2,-3.07,-15.8,-8.42,-18.2,605.0,5.96,0.0,0.0,13.6,-35.6,-9.21,-18.1,-35.6,-19.1,799.0,6.38,0.0,0.0,POSITIVE
17.7,-12.5,-3.02,-1.5,-12.5,-9.53,672.0,5.5,4.98,4.99,17.4,-12.5,-12.5,-10.1,-1.07,4.0,556.0,5.84,4.99,4.99,NEUTRAL
10.0,0.0965,7.66,0.0965,8.93,9.49,632.0,5.28,4.98,4.99,9.03,8.48,8.48,9.03,12.0,9.01,309.0,5.22,4.98,4.99,NEUTRAL
9.77,13.5,13.5,22.9,18.3,18.8,440.0,7.97,0.0,0.0,11.8,-2.47,18.1,18.3,-2.47,-0.4,6890.0,6.89,0.0,0.0,NEUTRAL
10.3,-25.2,-18.7,-8.35,-15.8,-25.2,799.0,5.26,0.0,0.0,10.5,-25.2,-15.6,-25.2,-18.5,-16.6,869.0,4.32,0.0,0.0,POSITIVE
9.46,5.77,10.4,5.77,10.5,11.4,371.0,4.99,4.99,4.99,9.23,1.8,10.8,10.9,3.67,1.8,412.0,5.83,4.99,4.99,NEUTRAL
82.9,-36.7,-36.7,7.4,-5.78,-26.9,1840.0,7.4,0.0,0.0,18.9,-27.4,-6.05,-27.4,-20.5,-20.4,971.0,5.64,4.95,4.91,NEUTRAL
237.0,-681.0,-533.0,-465.0,-635.0,-681.0,61800.0,10.3,0.0,0.0,253.0,-682.0,-646.0,-682.0,-605.0,-433.0,84200.0,8.1,0.0,0.0,POSITIVE
246.0,-689.0,-689.0,-659.0,-622.0,-599.0,83800.0,10.0,0.0,0.0,249.0,-659.0,-623.0,-592.0,-596.0,-659.0,70000.0,10.3,0.0,0.0,NEGATIVE
217.0,-754.0,-707.0,-754.0,-722.0,-619.0,104000.0,10.0,0.0,0.0,211.0,-723.0,-723.0,-612.0,-593.0,-697.0,82000.0,10.2,0.0,0.0,NEGATIVE
11.7,-25.5,-0.0751,-0.021,-17.9,-25.5,726.0,5.33,0.0,0.0,11.2,-25.2,-17.5,-25.2,-22.3,-19.9,582.0,5.35,0.0,0.0,POSITIVE
14.5,-4.84,-4.84,-4.52,5.01,-3.74,711.0,5.85,4.99,4.99,13.3,-3.88,4.88,-3.88,5.92,1.92,796.0,4.67,0.0,0.0,NEUTRAL
177.0,-578.0,-576.0,-550.0,-578.0,-512.0,60800.0,9.69,0.0,0.0,159.0,-647.0,-579.0,-516.0,-607.0,-647.0,61000.0,10.1,0.0,0.0,NEGATIVE
256.0,-890.0,-890.0,-220.0,-371.0,-403.0,69600.0,9.26,0.0,0.0,248.0,-550.0,-368.0,-403.0,-486.0,-550.0,35300.0,8.23,0.0,0.0,POSITIVE
262.0,-882.0,-695.0,-831.0,-882.0,-690.0,123000.0,10.5,0.0,0.0,273.0,-878.0,-878.0,-690.0,-817.0,-764.0,121000.0,10.7,0.0,0.0,NEGATIVE
194.0,-500.0,-445.0,-411.0,-500.0,-450.0,40000.0,9.5,0.0,0.0,191.0,-498.0,-498.0,-455.0,-489.0,-449.0,44600.0,9.39,0.0,0.0,NEGATIVE
7.56,17.6,18.2,17.6,18.3,24.4,605.0,5.19,4.97,4.99,7.75,19.3,20.0,19.3,19.8,20.7,584.0,6.05,4.97,4.99,NEUTRAL
276.0,-549.0,-549.0,-527.0,-447.0,-545.0,50600.0,9.58,0.0,0.0,269.0,-558.0,-450.0,-542.0,-554.0,-558.0,52300.0,10.0,0.0,0.0,NEGATIVE
209.0,-683.0,-555.0,-617.0,-615.0,-683.0,70900.0,10.5,0.0,0.0,219.0,-685.0,-608.0,-685.0,-585.0,-589.0,78000.0,10.2,0.0,0.0,NEGATIVE
138.0,-1030.0,-1030.0,-1020.0,-997.0,-993.0,196000.0,11.0,0.0,0.0,144.0,-1000.0,-992.0,-993.0,-993.0,-1000.0,186000.0,11.1,0.0,0.0,NEGATIVE
359.0,-1000.0,-951.0,-889.0,-1000.0,-909.0,173000.0,11.0,0.0,0.0,360.0,-999.0,-999.0,-893.0,-870.0,-878.0,161000.0,10.7,0.0,0.0,NEGATIVE
221.0,-676.0,-672.0,-676.0,-567.0,-570.0,78000.0,10.0,0.0,0.0,222.0,-611.0,-566.0,-570.0,-610.0,-611.0,62300.0,10.1,0.0,0.0,NEGATIVE
7.45,-0.205,8.23,4.52,4.01,-0.205,678.0,5.53,0.0,0.0,11.3,-0.101,4.03,-0.101,14.6,2.63,682.0,5.69,0.0,0.0,POSITIVE
343.0,-686.0,-177.0,-386.0,-686.0,-628.0,43100.0,10.3,0.0,0.0,326.0,-935.0,-684.0,-623.0,-935.0,-880.0,106000.0,9.32,0.0,0.0,NEGATIVE
11.6,2.97,2.97,3.42,5.39,9.62,835.0,5.58,4.97,4.98,11.3,5.3,5.3,10.0,7.56,8.44,668.0,5.18,4.97,4.98,NEUTRAL
9.51,-2.21,-0.156,-0.789,-2.21,1.67,716.0,5.54,0.0,0.0,11.3,-9.13,-2.49,1.35,-9.13,4.99,385.0,5.13,0.0,0.0,POSITIVE
20.7,-19.7,-18.4,-12.2,-19.7,-16.4,237.0,5.24,0.0,0.0,18.5,-20.5,-20.5,-17.3,-16.9,-16.6,357.0,5.71,0.0,0.0,POSITIVE
14.1,-22.0,-11.6,-22.0,-3.28,-12.9,564.0,5.03,0.0,0.0,13.3,-13.2,-3.55,-13.2,7.55,8.29,700.0,5.66,0.0,0.0,POSITIVE
12.8,-2.08,-2.08,4.65,0.609,11.6,318.0,6.01,4.98,4.99,13.6,-0.277,-0.277,11.4,8.36,10.9,913.0,3.54,0.0,4.96,NEUTRAL
255.0,-1010.0,-984.0,-994.0,-955.0,-1010.0,181000.0,11.1,0.0,0.0,259.0,-1010.0,-954.0,-1010.0,-939.0,-1010.0,179000.0,11.1,0.0,0.0,NEGATIVE
9.4,4.43,15.4,13.9,10.8,4.43,1180.0,6.2,4.96,4.97,9.06,3.98,10.3,3.98,5.2,6.11,1130.0,5.71,4.97,4.99,NEUTRAL
42.2,-4.96,-4.96,18.1,31.2,6.8,6890.0,5.12,0.0,0.0,43.6,-12.4,31.2,7.48,-12.4,-3.58,3540.0,7.78,0.0,0.0,NEUTRAL
257.0,-849.0,-436.0,-604.0,-849.0,-694.0,87400.0,10.2,0.0,4.95,250.0,-844.0,-844.0,-686.0,-750.0,-682.0,118000.0,10.3,0.0,4.93,POSITIVE
10.7,1.17,3.87,3.89,13.6,1.17,672.0,5.84,4.97,4.98,11.0,1.43,13.6,1.43,9.48,9.62,445.0,4.24,4.99,4.99,NEUTRAL
22.0,-33.0,-33.0,-19.5,-18.8,-12.1,209.0,2.42,0.0,0.0,20.7,-19.7,-18.4,-12.2,-19.7,-16.4,237.0,5.24,0.0,0.0,POSITIVE
30.2,-12.0,-8.84,-12.0,-10.1,0.463,592.0,7.88,0.0,0.0,32.0,-20.6,-9.45,-0.133,-20.6,-13.1,4940.0,4.22,0.0,0.0,POSITIVE
28.9,-48.0,-48.0,-30.7,19.9,28.2,792.0,5.79,0.0,0.0,15.5,-5.62,19.4,26.3,-5.62,7.05,1080.0,6.26,0.0,0.0,POSITIVE
58.1,-129.0,-47.3,-129.0,-53.2,-29.4,1720.0,4.93,0.0,0.0,21.0,-53.4,-53.4,-29.8,-3.25,-1.37,429.0,4.7,0.0,0.0,POSITIVE
173.0,-814.0,-814.0,-698.0,-717.0,-745.0,112000.0,10.6,0.0,4.94,170.0,-769.0,-724.0,-769.0,-709.0,-697.0,109000.0,10.5,0.0,4.92,POSITIVE
8.98,6.7,12.7,17.1,6.7,15.3,220.0,3.12,4.97,4.98,9.5,6.66,6.66,15.0,12.3,11.2,750.0,5.84,4.97,4.98,NEUTRAL
12.1,4.97,18.4,4.97,11.1,7.82,807.0,4.83,0.0,4.97,9.99,5.33,11.3,8.0,5.33,9.53,623.0,4.96,4.97,4.97,NEUTRAL
9.99,-0.301,9.75,8.54,8.1,-0.301,571.0,6.06,4.98,4.99,10.0,0.0965,7.66,0.0965,8.93,9.49,632.0,5.28,4.98,4.99,NEUTRAL
201.0,-546.0,-546.0,-390.0,-381.0,-522.0,39800.0,9.48,0.0,0.0,210.0,-517.0,-374.0,-517.0,-444.0,-473.0,41400.0,9.86,0.0,4.92,POSITIVE
8.44,7.78,7.78,12.1,16.3,13.9,417.0,5.07,4.97,4.98,7.04,14.3,16.3,14.3,14.6,17.5,757.0,5.9,4.98,4.99,NEUTRAL
353.0,-898.0,-898.0,-755.0,-719.0,-769.0,126000.0,10.3,0.0,0.0,359.0,-836.0,-720.0,-768.0,-718.0,-836.0,106000.0,10.8,0.0,0.0,NEGATIVE
262.0,-699.0,-699.0,-666.0,-654.0,-677.0,87100.0,10.4,0.0,0.0,251.0,-682.0,-652.0,-682.0,-608.0,-639.0,80200.0,10.2,0.0,0.0,NEGATIVE
12.5,-1.71,4.31,13.4,0.0327,-1.71,1880.0,7.89,0.0,0.0,8.62,-1.67,0.0246,-1.67,15.0,12.4,727.0,5.28,4.97,4.98,NEUTRAL
191.0,-498.0,-498.0,-455.0,-489.0,-449.0,44600.0,9.39,0.0,0.0,189.0,-491.0,-491.0,-464.0,-447.0,-468.0,43200.0,9.56,0.0,0.0,NEGATIVE
20.2,-15.3,-14.7,-13.6,-13.8,-15.3,286.0,2.57,0.0,0.0,19.9,-15.0,-13.9,-15.0,-7.98,-13.9,330.0,4.96,0.0,0.0,POSITIVE
12.5,9.26,14.7,13.0,9.26,22.9,997.0,-1.14,4.99,5.0,26.1,-2.1,9.36,23.5,5.09,-2.1,691.0,5.32,0.0,0.0,NEUTRAL
340.0,-921.0,-860.0,-921.0,-849.0,-900.0,151000.0,11.0,0.0,0.0,353.0,-905.0,-848.0,-887.0,-905.0,-822.0,149000.0,10.8,0.0,0.0,NEGATIVE
9.34,8.71,15.1,8.71,15.8,19.6,964.0,4.09,4.93,4.94,9.12,14.2,16.9,19.8,14.7,14.2,574.0,5.88,4.97,4.98,NEUTRAL
365.0,-954.0,-947.0,-794.0,-729.0,-954.0,137000.0,11.0,0.0,0.0,362.0,-955.0,-710.0,-955.0,-841.0,-801.0,141000.0,10.9,0.0,0.0,NEGATIVE
11.4,-11.9,8.47,-8.5,3.76,-11.9,494.0,5.0,0.0,0.0,12.1,-14.9,4.23,-12.2,-14.9,-13.8,709.0,3.28,0.0,0.0,POSITIVE
20.0,-7.36,-7.36,0.618,-7.17,-1.88,479.0,4.27,0.0,0.0,18.4,-10.8,-6.62,-2.18,-6.56,-10.8,649.0,4.83,0.0,0.0,POSITIVE
13.2,-1.5,-1.5,11.7,10.6,10.3,630.0,4.91,4.94,0.0,12.7,1.04,10.5,8.28,2.32,1.04,527.0,2.91,4.94,0.0,NEUTRAL
240.0,-682.0,-682.0,-664.0,-614.0,-607.0,80000.0,10.1,0.0,0.0,243.0,-706.0,-617.0,-621.0,-706.0,-561.0,78900.0,9.97,0.0,0.0,NEGATIVE
16.8,-20.3,-20.3,-4.06,-0.122,-8.87,300.0,2.94,0.0,0.0,17.0,-15.2,-0.663,-10.1,-15.2,-7.79,359.0,5.64,0.0,0.0,POSITIVE
146.0,-760.0,-757.0,-760.0,-644.0,-688.0,102000.0,10.4,0.0,0.0,152.0,-743.0,-652.0,-665.0,-743.0,-671.0,93400.0,10.3,0.0,0.0,NEGATIVE
30.6,-36.9,-3.57,9.44,16.6,-36.9,4930.0,4.53,0.0,0.0,32.7,-36.5,16.6,-36.5,-27.7,-11.2,3890.0,7.77,0.0,0.0,POSITIVE
